Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Target,Aspect,Soil_Clay,Soil_Sand
46.70025318766257,12.370473526391768,1615.0,23.0,3.4583333,16.5,-7.7,1121.0,151.0,37.174004,1,161.0,17.0,41.0
46.72475733759582,11.882005300940516,1232.0,36.0,5.866667,19.9,-6.1,818.0,123.0,48.89629,1,76.0,12.0,44.0
46.52610318791323,11.734756064414018,2698.0,68.0,0.8875,12.9,-9.2,981.0,130.0,35.274235,1,79.0,15.0,48.0
46.566466465786434,11.521634676710686,505.0,33.0,9.7625,25.3,-3.9,774.0,96.0,36.32468,1,322.0,13.0,49.0
46.75969287038833,11.870043963369994,994.0,26.0,7.2208333,22.1,-5.8,792.0,117.0,45.489567,1,234.0,12.0,45.0
46.94767585473534,11.378002835421038,1467.0,19.0,4.6208334,18.5,-6.8,881.0,125.0,46.23678,1,54.0,12.0,53.0
46.9473952832723,11.3779352366532,1472.0,19.0,4.6208334,18.5,-6.8,881.0,125.0,46.23678,1,58.0,12.0,53.0
46.94709615408428,11.378690394948324,1462.0,22.0,4.6208334,18.5,-6.8,881.0,125.0,46.23678,1,54.0,12.0,53.0
46.946773040112575,11.379843171799802,1474.0,25.0,4.6208334,18.5,-6.8,881.0,125.0,46.23678,1,330.0,16.0,44.0
46.75993691280068,11.847925174873554,1444.0,34.0,5.7458334,19.9,-6.1,824.0,123.0,48.562717,1,41.0,11.0,47.0
46.56029869252121,11.626056480960663,1878.0,25.0,4.425,17.9,-6.5,766.0,109.0,46.537373,1,121.0,12.0,46.0
46.87445344187565,11.632217912804444,1841.0,42.0,3.8,17.1,-7.3,947.0,134.0,44.219204,1,254.0,11.0,57.0
46.48011221071735,11.262021555596016,318.0,15.0,11.354167,27.4,-3.0,815.0,99.0,32.560555,1,107.0,16.0,48.0
46.68544408885043,11.857774480107144,1459.0,24.0,5.3875,19.3,-6.3,844.0,125.0,48.053036,1,29.0,13.0,42.0
46.7067818047877,11.92565708488216,1186.0,18.0,6.3416667,20.9,-6.3,789.0,116.0,46.1671,1,252.0,19.0,43.0
46.27249442627869,11.257424672285998,1162.0,62.0,8.958333,23.8,-3.6,637.0,77.0,38.908596,1,245.0,20.0,39.0
46.708081720083406,11.92627983272834,1223.0,11.0,6.3416667,20.9,-6.3,789.0,116.0,46.1671,1,251.0,15.0,47.0
46.55358509632782,11.758732545912777,1579.0,34.0,4.6666665,18.6,-6.8,843.0,121.0,47.142113,1,47.0,12.0,47.0
46.65523772300796,11.90360360247025,1347.0,33.0,6.0,20.4,-6.4,795.0,117.0,47.46998,1,104.0,19.0,42.0
46.42706997495975,11.347703441683286,440.0,35.0,11.266666,27.3,-2.8,821.0,102.0,32.05644,1,309.0,17.0,48.0
46.602179328322414,11.200975361133583,320.0,33.0,10.433333,26.4,-3.5,753.0,91.0,34.8075,1,254.0,15.0,49.0
