Feature,Importance
BIO01_Historical_Mean,0.16508942304302185
Elevation,0.15809400638722304
BIO05_Historical_Max,0.14122027257615122
BIO06_Historical_Min,0.10902322323731149
BIO15_Historical_Prec,0.0960997622396986
BIO13_Historical_Prec,0.09578655040952296
Slope,0.09531404747928578
BIO12_Historical_Prec,0.07987465055280943
Aspect,0.059498064074975675
