Latitude,Longitude,Elevation,Slope,BIO01_Historical_Mean,BIO05_Historical_Max,BIO06_Historical_Min,BIO12_Historical_Prec,BIO13_Historical_Prec,BIO15_Historical_Prec,Aspect,Soil_Clay,Soil_Sand,Landslide_Probability,Risk_Class
46.70025318766257,12.370473526391768,1615.0,23.0,8.075001,23.9,-2.8,1044.0,116.0,21.2,161.0,17.0,41.0,0.4898514611056392,MITTEL
46.72475733759582,11.882005300940516,1232.0,36.0,10.445833,27.1,-1.0,756.0,97.0,33.6,76.0,12.0,44.0,0.7772203272697931,HOCH
46.52610318791323,11.734756064414018,2698.0,68.0,5.4916673,20.1,-4.3,928.0,105.0,21.3,79.0,15.0,48.0,0.38038601914410475,MITTEL
46.566466465786434,11.521634676710686,505.0,33.0,14.358334,32.2,1.2,735.0,83.0,23.8,322.0,13.0,49.0,0.6780676102413697,HOCH
46.75969287038833,11.870043963369994,994.0,26.0,11.791667,29.1,-0.7,738.0,92.0,30.2,234.0,12.0,45.0,0.8278839856547758,HOCH
46.94767585473534,11.378002835421038,1467.0,19.0,9.170834,25.6,-1.2,829.0,109.0,32.1,54.0,12.0,53.0,0.7364542881311013,HOCH
46.9473952832723,11.3779352366532,1472.0,19.0,9.170834,25.6,-1.2,829.0,109.0,32.1,58.0,12.0,53.0,0.7364542881311013,HOCH
46.94709615408428,11.378690394948324,1462.0,22.0,9.170834,25.6,-1.2,829.0,109.0,32.1,54.0,12.0,53.0,0.743267201280176,HOCH
46.946773040112575,11.379843171799802,1474.0,25.0,9.170834,25.6,-1.2,829.0,109.0,32.1,330.0,16.0,44.0,0.7599319172754472,HOCH
46.75993691280068,11.847925174873554,1444.0,34.0,10.316668,26.9,-1.0,762.0,98.0,33.4,41.0,11.0,47.0,0.7893891861099969,HOCH
46.56029869252121,11.626056480960663,1878.0,25.0,9.020833,25.0,-1.5,714.0,89.0,32.4,121.0,12.0,46.0,0.6079100390708778,HOCH
46.87445344187565,11.632217912804444,1841.0,42.0,8.349999,24.3,-2.0,889.0,110.0,29.9,254.0,11.0,57.0,0.4298651578183693,MITTEL
46.48011221071735,11.262021555596016,318.0,15.0,15.945834,34.1,2.1,784.0,92.0,21.8,107.0,16.0,48.0,0.7509866059629179,HOCH
46.68544408885043,11.857774480107144,1459.0,24.0,9.974999,26.4,-1.1,781.0,99.0,32.8,29.0,13.0,42.0,0.8203509665584919,HOCH
46.7067818047877,11.92565708488216,1186.0,18.0,10.929168,28.0,-1.2,731.0,90.0,30.9,252.0,19.0,43.0,0.825096436121429,HOCH
46.27249442627869,11.257424672285998,1162.0,62.0,13.554166,30.6,1.2,605.0,69.0,26.6,245.0,20.0,39.0,0.47035562515780294,MITTEL
46.708081720083406,11.92627983272834,1223.0,11.0,10.929168,28.0,-1.2,731.0,90.0,30.9,251.0,15.0,47.0,0.653710428001261,HOCH
46.55358509632782,11.758732545912777,1579.0,34.0,9.270833,25.7,-1.8,781.0,98.0,32.9,47.0,12.0,47.0,0.7848922758602684,HOCH
46.65523772300796,11.90360360247025,1347.0,33.0,10.595834,27.5,-1.2,734.0,92.0,32.8,104.0,19.0,42.0,0.7923961993612862,HOCH
46.42706997495975,11.347703441683286,440.0,35.0,15.8625,34.1,2.1,789.0,95.0,21.7,309.0,17.0,48.0,0.832728056822117,HOCH
46.602179328322414,11.200975361133583,320.0,33.0,15.016666,33.1,1.6,722.0,79.0,22.7,254.0,15.0,49.0,0.6476983583884344,HOCH
46.57658896543343,11.382062629554724,846.0,30.0,13.724999,31.1,1.1,708.0,81.0,25.5,286.0,17.0,44.0,0.6435185784171314,HOCH
46.593661967163,11.426217980144369,1631.0,16.0,8.937499,24.7,-1.4,619.0,79.0,34.9,286.0,11.0,52.0,0.42215539178798334,MITTEL
46.599732907509264,11.419727224932666,1641.0,35.0,9.541667,25.6,-0.9,611.0,79.0,35.8,170.0,15.0,46.0,0.5099773289734306,MITTEL
46.57947246653492,11.413999309044732,1552.0,18.0,9.799999,25.8,-0.7,589.0,76.0,35.4,273.0,11.0,47.0,0.46868542834072086,MITTEL
46.56895393793644,11.404111130242566,1379.0,16.0,10.541667,26.8,-0.1,585.0,76.0,36.4,199.0,13.0,48.0,0.392302941956889,MITTEL
46.563171896007695,11.388440045121506,1168.0,26.0,12.216667,29.1,0.6,620.0,78.0,33.3,229.0,14.0,49.0,0.570909895574234,MITTEL
46.55797584744096,11.38475725050779,942.0,23.0,13.400001,30.7,1.0,673.0,79.0,27.5,210.0,17.0,51.0,0.6030552072945936,HOCH
46.29067917124432,11.209115251713408,282.0,29.0,16.2125,34.0,2.5,805.0,91.0,18.1,102.0,25.0,35.0,0.7891980802029214,HOCH
46.59823943319239,11.547703792171662,590.0,37.0,13.837501,31.6,0.9,722.0,83.0,24.9,9.0,15.0,52.0,0.6640944155551775,HOCH
46.81995606438851,11.76253150038226,1055.0,8.0,11.820835,29.0,-0.3,775.0,95.0,29.3,331.0,11.0,60.0,0.5780578659639733,MITTEL
46.62033102857871,11.556723197137508,848.0,26.0,13.608335,31.3,0.7,721.0,84.0,26.2,327.0,15.0,46.0,0.6921986634209336,HOCH
46.31551177362087,11.301302511742763,571.0,19.0,14.429168,31.8,1.6,707.0,79.0,22.0,242.0,22.0,38.0,0.6253576552865286,HOCH
46.56778460464475,11.540068770566688,863.0,28.0,13.283333,30.9,0.7,685.0,81.0,28.1,333.0,14.0,48.0,0.6173305869914824,HOCH
46.577920496571245,11.38305556409154,846.0,16.0,13.724999,31.1,1.1,708.0,81.0,25.5,263.0,14.0,46.0,0.564190930469326,MITTEL
46.84585337775442,11.977607920007484,1359.0,27.0,9.975,26.5,-1.4,820.0,101.0,29.8,175.0,14.0,48.0,0.7612879908491609,HOCH
46.56351540398156,11.535036509633755,715.0,30.0,13.316667,30.9,0.7,684.0,80.0,27.6,351.0,18.0,43.0,0.6198732134801503,HOCH
46.577628994736166,11.43701524099499,1553.0,12.0,9.537499,25.6,-1.0,611.0,79.0,35.1,128.0,13.0,47.0,0.3930026828209134,MITTEL
46.59309452609384,11.405581659695024,1433.0,33.0,10.791667,27.2,-0.2,615.0,80.0,35.9,21.0,15.0,47.0,0.5122518692238192,MITTEL
