mean,median,std,min,max,p25,p75,p90,p10,range,cv,label,class
38.25743,36.029972,26.266111,0.05728093,89.997635,14.67474,60.747894,75.84181,3.4684837,89.94035,0.68656236,1.0,Landslide
42.73186,40.845676,20.711336,0.20967342,89.99928,25.977478,58.68836,72.0723,16.577324,89.78961,0.48468134,1.0,Landslide
54.04802,59.124443,24.014412,0.07077973,89.999794,35.447067,74.00438,82.60654,16.049976,89.929016,0.44431624,1.0,Landslide
28.03991,14.505215,29.27023,0.008870298,89.999756,1.692931,54.511536,74.89501,0.78447586,89.99088,1.0438775,1.0,Landslide
52.927647,55.01934,21.352764,0.17550528,89.99994,37.59899,69.943924,80.081924,22.854103,89.82443,0.40343308,1.0,Landslide
31.153097,28.171352,22.20236,0.042689476,89.997856,11.621521,47.71292,62.978718,4.1110425,89.95517,0.71268547,1.0,Landslide
53.438206,55.897156,20.926664,0.13859352,89.99858,38.982506,69.76193,79.6935,22.419985,89.859985,0.39160493,1.0,Landslide
45.63403,46.524353,22.582687,0.13501063,89.99787,26.965822,64.02155,75.64492,14.227694,89.86286,0.4948651,1.0,Landslide
52.501637,53.9093,21.208864,0.07583222,89.99946,36.89956,69.563156,80.19734,22.594545,89.92363,0.40396577,1.0,Landslide
56.40015,60.27568,21.923006,0.07077973,89.99975,41.207367,74.01445,82.7932,23.87451,89.92897,0.38870475,1.0,Landslide
56.616467,60.486347,21.366243,0.071008906,89.99996,42.33627,73.3352,82.23068,24.13364,89.928955,0.37738568,1.0,Landslide
36.06437,34.540672,28.286535,0.013377605,89.99929,5.704895,60.86512,76.36856,1.0664438,89.985916,0.78433466,1.0,Landslide
45.45601,46.18013,22.613562,0.13501063,89.99787,26.734238,63.87139,75.678986,14.161984,89.86286,0.49748233,1.0,Landslide
43.277683,42.491497,20.225641,0.07958055,89.9988,28.96093,57.47,71.37573,16.407139,89.91922,0.46734574,1.0,Landslide
26.244831,9.52093,29.013725,0.0026121482,89.99883,1.4325839,51.710327,73.120415,0.7346281,89.99622,1.1055025,1.0,Landslide
52.22222,54.76389,22.295488,0.21139456,89.99948,35.05767,70.45642,80.63006,19.743805,89.788086,0.4269349,1.0,Landslide
53.089523,55.298527,21.424469,0.17550528,89.99994,37.757584,70.14921,80.26876,22.771374,89.82443,0.4035536,1.0,Landslide
51.25176,52.893562,21.074867,0.21139456,89.999435,35.50383,67.77223,78.69116,21.50427,89.78804,0.41120282,1.0,Landslide
20.508108,10.665981,23.398996,0.00900515,89.99984,2.419941,30.252321,61.285847,0.92816913,89.99084,1.1409632,1.0,Landslide
42.171425,39.915802,20.485334,0.14884508,89.99982,26.284286,56.65142,72.24295,16.78332,89.850975,0.4857634,1.0,Landslide
50.26548,52.115223,22.841455,0.16312136,89.99936,31.533539,69.31584,80.03498,17.479343,89.836235,0.45441633,1.0,Landslide
16.137835,4.0054903,22.725353,0.008132751,89.995224,1.0943334,22.449364,56.753338,0.5938064,89.98709,1.4082034,1.0,Landslide
20.553188,10.730176,23.394197,0.00900515,89.99984,2.4783082,30.287922,61.332687,0.9366464,89.99084,1.1382272,1.0,Landslide
39.234695,34.750587,22.64329,0.07471552,89.99886,21.41604,56.478683,73.61433,12.109557,89.92415,0.5771241,1.0,Landslide
53.12581,55.310482,21.377724,0.17550528,89.99994,37.84633,70.14308,80.24444,22.94269,89.82443,0.40239808,1.0,Landslide
42.956474,40.87357,24.050915,0.073239826,89.999115,22.70448,63.15851,77.407,11.419059,89.92587,0.55989033,1.0,Landslide
30.939001,23.967167,28.96435,0.0026121482,89.998985,2.074328,56.67678,75.02409,0.8614694,89.996376,0.936176,1.0,Landslide
46.22739,48.599968,23.94409,0.09293639,89.99652,26.472914,65.43751,77.46428,10.989443,89.90359,0.5179633,1.0,Landslide
47.58748,48.301647,22.496677,0.1508194,90.0,28.7799,66.166405,77.728035,16.644209,89.84918,0.47274363,1.0,Landslide
47.114246,48.717693,25.256826,0.070625484,89.99936,24.067883,69.43022,80.42047,12.11209,89.928734,0.5360762,1.0,Landslide
53.050026,55.18296,21.386255,0.17550528,89.99994,37.698723,70.105446,80.217155,22.921318,89.82443,0.40313375,1.0,Landslide
53.501854,55.646564,20.59821,0.13859352,89.99719,39.66568,69.45087,79.42568,23.273573,89.8586,0.38499993,1.0,Landslide
38.373886,35.615604,19.249197,0.10228329,89.99879,23.99314,50.810963,66.50597,15.40986,89.89651,0.5016223,1.0,Landslide
