mean,median,std,min,max,range,p25,p75,p90,cv,iqr
49.46526,48.866932,27.085226,0.13501063,360.2401,360.1051,28.243872,67.43216,82.27771,0.5475606,39.188286
61.711563,59.51676,30.880575,0.07583222,468.53052,468.45468,40.214592,78.88118,99.14831,0.5004018,38.666588
73.19924,70.08673,37.95244,0.07077973,615.6341,615.5633,49.1873,91.41998,117.957794,0.5184813,42.23268
69.84057,67.560196,34.95076,0.071008906,623.65186,623.5809,48.585453,86.255196,109.82594,0.50043637,37.669743
54.574677,45.60792,56.641792,0.013377605,1534.8856,1534.8722,12.587559,77.66017,112.89403,1.0378768,65.07262
49.55258,48.628967,27.55144,0.13501063,360.2401,360.1051,28.068663,67.5198,82.772545,0.5560041,39.451134
46.95765,43.980637,25.453617,0.07958055,316.098,316.0184,29.876432,60.81044,78.889404,0.5420548,30.934008
42.195984,23.28558,55.66907,0.0026121482,2118.5874,2118.5847,1.7112708,69.30247,103.001114,1.3192979,67.591194
60.302124,59.939453,30.284132,0.21139456,384.15564,383.94424,38.50033,78.28801,96.04711,0.50220674,39.787678
68.6119,62.28943,45.912674,0.17550528,1349.083,1348.9075,42.24269,82.2484,112.008835,0.6691649,40.005707
57.862137,56.712437,28.094688,0.21139456,325.2687,325.0573,37.96951,74.219666,92.179184,0.4855453,36.250156
25.955069,11.727904,35.66824,0.00900515,721.31836,721.3093,2.6824002,36.667503,72.14929,1.3742303,33.985104
46.847176,41.933643,27.695847,0.14884508,751.6907,751.5418,27.259434,61.483715,81.8518,0.59119564,34.22428
65.18336,60.15634,44.66566,0.16312136,1205.0892,1204.9261,36.477634,81.54948,109.61207,0.68523103,45.071842
23.131697,4.938073,45.723293,0.008132751,1860.4144,1860.4062,1.1408648,28.630913,68.702286,1.9766511,27.490047
25.989517,11.787154,35.616776,0.00900515,721.31836,721.3093,2.7494218,36.71387,72.18023,1.3704286,33.96445
47.859444,39.04091,34.424335,0.07471552,582.1511,582.0764,22.985348,66.49342,92.187874,0.7192799,43.508076
68.675156,62.283737,46.04287,0.17550528,1349.083,1348.9075,42.29886,82.19273,112.13857,0.67044437,39.893875
57.267185,48.522995,45.649094,0.073239826,801.5334,801.46014,26.021458,76.219185,105.40678,0.7971248,50.197727
45.882027,34.461853,53.06805,0.0026121482,1339.564,1339.5614,2.9164784,71.60338,101.37625,1.1566195,68.6869
52.39516,52.325714,30.305065,0.09293639,562.19855,562.1056,29.43771,71.39107,89.433525,0.57839435,41.953358
53.447628,52.0767,29.116205,0.1508194,376.80966,376.65884,30.768581,71.71765,88.65239,0.5447614,40.94907
66.825874,61.038494,53.728283,0.070625484,1933.4674,1933.3967,30.385262,85.683914,119.02683,0.8040042,55.298653
68.61886,62.19725,46.09384,0.17550528,1349.083,1348.9075,42.118927,82.15825,112.18854,0.67173725,40.03932
60.194817,59.274662,27.730457,0.13859352,362.03232,361.89374,42.255173,75.69875,92.976974,0.4606785,33.44358
42.152824,36.661903,29.775145,0.10228329,754.7675,754.6652,24.492798,53.460564,72.47975,0.7063618,28.967766
61.96556,57.88552,42.91859,0.07077973,770.24695,770.17615,32.58394,80.61237,105.80278,0.69262004,48.028435
40.42264,37.187084,31.894705,0.07077973,344.87808,344.8073,10.672135,63.00476,81.864685,0.7890307,52.332626
39.940052,37.880077,28.762478,0.07034815,279.9694,279.89905,18.174006,56.11582,76.466995,0.72014123,37.94182
75.60552,71.293304,38.669197,0.15730022,1522.18,1522.0227,53.37444,91.02515,116.765396,0.51145995,37.650707
68.07805,66.5653,35.790676,0.07762095,687.29675,687.2191,45.715187,84.92938,107.96755,0.5257301,39.214195
68.70637,62.23675,46.268642,0.17550528,1349.083,1348.9075,42.11403,82.24805,112.4974,0.67342585,40.134018
62.023983,60.53701,26.584572,0.2535617,325.2687,325.01514,44.407345,76.62017,94.32914,0.42861763,32.212826
49.72445,43.72771,32.821815,0.09757979,689.38947,689.2919,26.262516,67.88104,89.56547,0.660074,41.618526
61.805843,48.75607,64.56877,0.24288239,1782.9286,1782.6857,28.133493,72.07204,105.10711,1.0447034,43.938545
57.62538,49.07682,45.405205,0.073239826,801.5334,801.46014,26.788513,76.363106,105.011,0.7879376,49.574593
59.566074,58.936554,29.820961,0.21139456,384.15564,383.94424,38.008335,77.61601,94.726105,0.5006367,39.607677
51.76907,53.658104,32.793617,0.07077973,320.91974,320.84897,23.53733,73.0559,91.107475,0.6334597,49.51857
41.851074,17.888945,65.02416,0.00010789593,1795.2522,1795.2521,1.9048915,63.327217,102.87372,1.5537035,61.422325
66.19471,64.54225,30.130533,0.070781045,404.2586,404.18784,46.35964,82.132286,101.501945,0.45518038,35.772648
49.11521,41.518085,32.878143,0.09757979,534.35944,534.26184,25.79834,65.44339,90.48253,0.66940856,39.64505
35.58501,12.294632,47.848236,0.059124198,963.89874,963.8396,2.0263405,62.85166,90.76349,1.3446177,60.82532
56.993176,48.16709,45.59407,0.073239826,801.5334,801.46014,25.88809,75.88536,104.81484,0.7999917,49.99727
52.989845,47.819794,47.275383,0.070671834,963.89874,963.82806,18.07126,75.42501,98.89517,0.8921593,57.353752
54.447285,52.946373,27.476835,0.07308749,302.84634,302.77325,35.803364,70.83492,88.14421,0.50465024,35.03156
49.297764,48.51002,27.836285,0.09465818,417.19223,417.09756,27.269905,67.76564,82.949,0.56465614,40.495735
60.787643,61.882763,36.909416,0.02927809,597.3703,597.341,32.408546,83.722595,104.53763,0.60718614,51.31405
57.639095,58.386414,37.594715,0.00084828597,663.9908,663.9899,27.280552,80.98729,101.15386,0.6522433,53.706738
60.526527,59.85839,28.08895,0.13859352,309.45828,309.3197,41.892605,76.29752,93.47881,0.46407667,34.40492
46.27077,32.773308,47.533882,0.07056394,1122.1562,1122.0857,15.050558,64.36528,95.04771,1.0272982,49.31472
61.873226,60.34187,26.530945,0.2535617,325.2687,325.01514,44.19591,76.50829,94.16495,0.42879525,32.31238
