Scenario,Mean_Risk_Index,High_Risk_Area_Percent,Pixel_Count_High_Risk,Change_Mean_Risk (%),Change_High_Risk_Area (%)
Historical (2015-2024),0.15423694606442867,4.267539383522226,11123,0.0,0.0
SSP1-2.6 (2081-2100),0.14474988995754934,3.8758143353718895,10102,-6.150962106651379,-9.179178279241206
SSP3-7.0 (2081-2100),0.16797889912998054,4.976174215974401,12970,8.909637681630127,16.60523240133057
SSP5-8.5 (2081-2100),0.18637162886218392,5.248578509986879,13680,20.83462076870465,22.988402409421926
