Feature,Importance
Elevation,0.29726257261314265
BIO12_Historical_Prec,0.11217520134696032
Slope,0.10981124043686215
BIO01_Historical_Mean,0.0922813886330786
BIO13_Historical_Prec,0.08579104643874262
BIO05_Historical_Max,0.08164531108827723
BIO15_Historical_Prec,0.08119036414022729
Aspect,0.08103520534655607
BIO06_Historical_Min,0.05880766995615302
